date,adaptive_return,static_60_40_return,adaptive_equity_weight,static_60_40_equity_weight,adaptive_turnover,adaptive_cost
2016-02-09,0.0001051063141,0.000104633837,0.5962904366,0.6,0,0
2016-02-10,0.0006901416608,0.0006758724344,0.5962597789,0.599969435,0,0
2016-02-11,-0.005883768203,-0.005949131357,0.5953344318,0.5990468729,0,0
2016-02-12,0.00906662224,0.009171833739,0.5910677179,0.5947926598,0,0
2016-02-16,0.00889037438,0.008963961701,0.5978334142,0.6015382738,0,0
2016-02-17,0.0087544133,0.008814917545,0.5967550549,0.6,0.01162352337,5.811761685e-06
2016-02-18,-0.0006131715129,-0.0006414060694,0.6012359908,0.6044687772,0,0
2016-02-19,-0.0002807969807,-0.0002823147741,0.5991407629,0.6023793018,0,0
2016-02-22,0.008274415402,0.008324535866,0.5990281712,0.6022670159,0,0
2016-02-23,-0.006741356808,-0.006786711233,0.5969074663,0.6,0.01161429253,5.807146263e-06
2016-02-24,0.002714977961,0.002729168311,0.5933653885,0.5964667258,0,0
2016-02-25,0.008410057034,0.008438341973,0.5944664033,0.5975650385,0,0
2016-02-26,-0.003336324263,-0.003328385119,0.5966486395,0.5997418274,0,0
2016-02-29,-0.004027680215,-0.004056967886,0.5972683958,0.6003600143,0,0
2016-03-01,0.01087850772,0.01097586418,0.5968915274,0.6,0.003822061857,1.911030929e-06
2016-03-02,0.002028920687,0.002048154417,0.6043471891,0.6074359809,0,0
2016-03-03,0.002842927545,0.002851350917,0.605833109,0.6089178072,0,0
2016-03-04,0.000643455334,0.0006639029125,0.6064833487,0.6095662377,0,0
2016-03-07,-0.000304798277,-0.0002961328014,0.6080652765,0.6111437184,0,0
2016-03-08,-0.004197045335,-0.004248308921,0.5969313319,0.6,0.02360999813,1.180499906e-05
2016-03-09,0.001330439035,0.001357731774,0.5928955964,0.5959741937,0,0
2016-03-10,-0.0009702018139,-0.0009567471588,0.5950325783,0.5981059696,0,0
2016-03-11,0.008467258208,0.008525565476,0.5960885131,0.5991592891,0,0
2016-03-14,-0.0004752784166,-0.000481460096,0.6006217635,0.6036809893,0,0
2016-03-15,-0.001050257287,-0.001054662854,0.5969743235,0.6,0.006325002721,3.162501361e-06
2016-03-16,0.005572824041,0.005574432396,0.5966264009,0.5996529378,0,0
2016-03-17,0.004229503826,0.004245371211,0.5967535849,0.5997798076,0,0
2016-03-18,0.003049751318,0.003056369518,0.5980100112,0.6010331088,0,0
2016-03-21,-0.0002887309674,-0.0002758758738,0.5985346844,0.6015564652,0,0
2016-03-22,-0.001174397128,-0.001169116354,0.5967731952,0.6,0.005568033568,2.784016784e-06
2016-03-23,-0.002089382479,-0.002125494579,0.597151983,0.6003777864,0,0
2016-03-24,-0.0006717904785,-0.0006699691738,0.5944533159,0.59768617,0,0
2016-03-28,0.0009454585873,0.0009426311344,0.5945892245,0.5978217282,0,0
2016-03-29,0.008251962823,0.008254605138,0.6004187174,0.6,0.01208028261,6.040141303e-06
2016-03-30,0.002093387205,0.00209098068,0.6010095119,0.6005910018,0,0
2016-03-31,-1.520923076e-05,-1.267387164e-05,0.602385517,0.6019674944,0,0
2016-04-01,0.003977624064,0.003974651497,0.6009327934,0.6005142563,0,0
2016-04-04,-0.0014823551,-0.00148050862,0.6026292615,0.6022113259,0,0
2016-04-05,-0.00686029852,-0.004397980809,0.7646527359,0.6,0.3261660689,0.0001630830344
2016-04-06,0.007807652939,0.005641563856,0.7621203538,0.596630527,0,0
2016-04-07,-0.007932200178,-0.00511127832,0.7644749054,0.5997628771,0,0
2016-04-08,0.001687746233,0.0009870769476,0.7613665919,0.5956306119,0,0
2016-04-11,-0.001831853424,-0.001473337239,0.7621334041,0.5966478511,0,0
2016-04-12,0.006176725188,0.003996084696,0.764058128,0.6,0.004636383915,2.318191957e-06
2016-04-13,0.007910852348,0.006380095137,0.7664378828,0.6031750722,0,0
2016-04-14,-0.000508774811,-0.0008994384984,0.7681031207,0.6054050438,0,0
2016-04-15,-0.0001565482743,0.0005097614288,0.7685310343,0.6059791722,0,0
2016-04-18,0.00516395564,0.003858021119,0.7678017341,0.605000945,0,0
2016-04-19,0.002022703669,0.001233671849,0.7644886306,0.6,0.009471755838,4.735877919e-06
2016-04-20,-0.0004622884168,-0.001452656912,0.7653481662,0.6011466566,0,0
2016-04-21,-0.004505435291,-0.003892993461,0.7664318522,0.6025949104,0,0
2016-04-22,-0.0002567616159,-0.0004365990703,0.7657596479,0.6016962287,0,0
2016-04-25,-0.001575974914,-0.00147330851,0.7659563161,0.6019590435,0,0
2016-04-26,0.0006380810924,4.781051495e-05,0.7643240292,0.6,0.003039768017,1.519884009e-06
2016-04-27,0.002867662534,0.00343270278,0.7649703575,0.6008616438,0,0
2016-04-28,-0.006120670582,-0.004059950884,0.7643530929,0.6000387241,0,0
2016-04-29,-0.004200660325,-0.003369466853,0.7620802706,0.597016634,0,0
2016-05-02,0.005356403567,0.003561735968,0.7611633957,0.5958010358,0,0
2016-05-03,-0.005245670178,-0.00284922984,0.7637701834,0.6,0.001288607606,6.443038029e-07
2016-05-04,-0.003812097419,-0.002594911775,0.7611150579,0.5964766687,0,0
2016-05-05,0.0005047282532,0.0009855868772,0.7597657112,0.5946925808,0,0
2016-05-06,0.002212474067,0.001219623189,0.7592342929,0.5939911412,0,0
2016-05-09,0.001084167657,0.001261537577,0.7603301935,0.5954384016,0,0
